nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,cable_t2_attache,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPFTNA00001,ddbf6466-c1fd-42d8-93e2-cdc1b64a99d4,Corbeil - Emile Zola,Parking privé à usage public,87 Rue Émile Zola,91100,"[48.620315, 2.467067]",8,FRJRCEFTNA22011100001001,bf065e7a-8f15-4911-9341-3fab7f45055d,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPFTNA00001,ddbf6466-c1fd-42d8-93e2-cdc1b64a99d4,Corbeil - Emile Zola,Parking privé à usage public,87 Rue Émile Zola,91100,"[48.620315, 2.467067]",8,FRJRCEFTNA22011100000801,b98159d1-0d33-4fb7-a14f-dfb056e123bf,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPFTNA00001,ddbf6466-c1fd-42d8-93e2-cdc1b64a99d4,Corbeil - Emile Zola,Parking privé à usage public,87 Rue Émile Zola,91100,"[48.620315, 2.467067]",8,FRJRCEFTNA23010300002401,440c4151-f9bd-4de9-9707-9202d3da365f,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPFTNA00001,ddbf6466-c1fd-42d8-93e2-cdc1b64a99d4,Corbeil - Emile Zola,Parking privé à usage public,87 Rue Émile Zola,91100,"[48.620315, 2.467067]",8,FRJRCEFTNA23010300002301,660cd318-e10c-4aea-bc19-79835673c31a,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPFTNA00001,ddbf6466-c1fd-42d8-93e2-cdc1b64a99d4,Corbeil - Emile Zola,Parking privé à usage public,87 Rue Émile Zola,91100,"[48.620315, 2.467067]",8,FRJRCEFTNAFLV24000101,e5eb674a-feaf-4e70-bad4-71dc36bd8de3,180,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPFTNA00001,ddbf6466-c1fd-42d8-93e2-cdc1b64a99d4,Corbeil - Emile Zola,Parking privé à usage public,87 Rue Émile Zola,91100,"[48.620315, 2.467067]",8,FRJRCEFTNAFLV24000102,cdfc5e09-705a-4e37-8e62-f7fbe7b2dd78,60,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPFTNA00001,ddbf6466-c1fd-42d8-93e2-cdc1b64a99d4,Corbeil - Emile Zola,Parking privé à usage public,87 Rue Émile Zola,91100,"[48.620315, 2.467067]",8,FRJRCEFTNAFLV1240201,16858d40-468e-44f0-a18a-96c873b04656,180,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPFTNA00001,ddbf6466-c1fd-42d8-93e2-cdc1b64a99d4,Corbeil - Emile Zola,Parking privé à usage public,87 Rue Émile Zola,91100,"[48.620315, 2.467067]",8,FRJRCEFTNAFLV1240202,ab4da300-ad65-40c2-af35-350faa32b1f7,60,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPAMB9100001,bcb18835-5b8f-43fc-b95b-502cf441789e,Corbeil - Parking ambulance,Parking privé réservé à la clientèle,87 Rue Émile Zola,91100,"[48.620164, 2.466702]",4,FRJRCEFTNAHLV14400101,74e8a99a-fa74-4892-9db1-50bbe87eef20,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPAMB9100001,bcb18835-5b8f-43fc-b95b-502cf441789e,Corbeil - Parking ambulance,Parking privé réservé à la clientèle,87 Rue Émile Zola,91100,"[48.620164, 2.466702]",4,FRJRCEFTNAHLV14400102,abd09432-259d-432e-b05e-548889467a12,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPAMB9100001,bcb18835-5b8f-43fc-b95b-502cf441789e,Corbeil - Parking ambulance,Parking privé réservé à la clientèle,87 Rue Émile Zola,91100,"[48.620164, 2.466702]",4,FRJRCEFTNAHLV14400201,12059cc4-6b7a-4e73-90b7-06470e98cb17,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
Jerecharge.com,905083895,contact@jerecharge.com,Jerecharge.com,contact@jerecharge.com,⁦+33 1 59 06 86 35,Jerecharge.com,FRJRCPAMB9100001,bcb18835-5b8f-43fc-b95b-502cf441789e,Corbeil - Parking ambulance,Parking privé réservé à la clientèle,87 Rue Émile Zola,91100,"[48.620164, 2.466702]",4,FRJRCEFTNAHLV14400202,9f233957-c7ed-4c90-a823-ac18e2767c5e,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.54€ / kwh,Accès libre,FALSE,Mo-Su 08:00-18:00,Accessible mais non réservé PMR,Aucune,FALSE,Direct,XX,2023-07-01,,2024-08-06
